ImageID;LabelName;Conf;XMin;XMax;YMin;YMax
0_23-11-2021_02-20-47_PM.jpg;3;0.6338659;0.115363345;0.6382342;0.050513268;0.12875125
0_23-11-2021_02-38-46_PM.jpg;3;0.6847433;0.9560601;0.5829869;0.09314906;0.3402171
0_23-11-2021_09-28-25_PM.jpg;3;0.9293507;0.48655334;0.8342081;0.13100667;0.28056806
0_24-11-2021_01-49-25_PM.jpg;3;0.5090595;0.61641264;0.40136573;0.06282509;0.17846346
0_24-11-2021_03-59-43_AM.jpg;3;0.5118754;0.96288216;0.28649846;0.07421261;0.43438244
0_24-11-2021_03-59-43_AM.jpg;3;0.9639284;0.11985205;0.35452235;0.084938444;0.1955706
0_24-11-2021_04-13-05_PM.jpg;3;0.7792609;0.97018236;0.3066195;0.057998743;0.34276634
0_24-11-2021_04-13-05_PM.jpg;3;0.41803297;0.7313464;0.8179815;0.08598599;0.28089026
0_24-11-2021_04-13-05_PM.jpg;3;0.7525229;0.9728113;0.30844527;0.052711364;0.3456203
0_24-11-2021_04-13-05_PM.jpg;3;0.840828;0.59127057;0.4635838;0.08611631;0.2309066
0_24-11-2021_09-13-14_PM.jpg;3;0.6275676;0.9818804;0.21176444;0.037654597;0.4022221
0_24-11-2021_09-13-14_PM.jpg;3;0.4862182;0.98475176;0.23427956;0.032515448;0.4365755
0_24-11-2021_09-38-58_AM.jpg;3;0.69944483;0.05905735;0.5365825;0.097886115;0.22585566
0_24-11-2021_09-38-58_AM.jpg;3;0.5982137;0.25241107;0.7062699;0.037567936;0.123121664
0_24-11-2021_11-07-32_AM.jpg;3;0.44918212;0.18691036;0.2323519;0.08531834;0.26323995
0_24-11-2021_11-07-32_AM.jpg;3;0.9572876;0.35703698;0.46932054;0.07050227;0.21477523
0_25-11-2021_01-05-14_AM.jpg;3;0.5038407;0.052175224;0.69568264;0.10544233;0.4935402
0_25-11-2021_07-58-20_AM.jpg;3;0.8228644;0.9720477;0.404544;0.05489188;0.17690547
0_25-11-2021_07-58-20_AM.jpg;3;0.84882534;0.9739475;0.40383643;0.05048238;0.17629051
0_25-11-2021_08-50-08_AM.jpg;3;0.98059136;0.9488138;0.45784226;0.07648256;0.25773862
0_25-11-2021_08-50-08_AM.jpg;3;0.80888426;0.3636154;0.83355093;0.14756048;0.323096
0_25-11-2021_08-50-08_AM.jpg;3;0.673231;0.35169265;0.3626075;0.06583337;0.21171923
0_25-11-2021_10-03-50_AM.jpg;3;0.5891602;0.19859368;0.071480006;0.041603345;0.14049171
0_25-11-2021_10-55-30_AM.jpg;3;0.944738;0.052117363;0.26485652;0.1072709;0.40011856
0_25-11-2021_10-55-30_AM.jpg;3;0.440584;0.16580777;0.07501852;0.114450246;0.14055514
0_25-11-2021_10-55-30_AM.jpg;3;0.97920245;0.06436248;0.26988497;0.13376983;0.40154102
0_25-11-2021_10-55-30_AM.jpg;3;0.8819983;0.12307928;0.23089997;0.14091507;0.438626
0_26-11-2021_03-53-12_AM.jpg;3;0.84758663;0.8739161;0.6096816;0.11177251;0.24540709
0_26-11-2021_03-53-12_AM.jpg;3;0.70758;0.039716177;0.46186477;0.08761546;0.5602188
0_26-11-2021_03-53-12_AM.jpg;3;0.8743454;0.80535805;0.7085412;0.15046391;0.3992589
0_26-11-2021_04-10-55_AM.jpg;3;0.68582386;0.05055659;0.28328097;0.103994474;0.5057187
0_26-11-2021_04-10-55_AM.jpg;3;0.83035135;0.3227573;0.7548433;0.1186052;0.41719508
0_26-11-2021_04-11-19_AM.jpg;3;0.82517266;0.97996646;0.6265759;0.04025757;0.19975266
0_26-11-2021_04-11-19_AM.jpg;3;0.8528258;0.98079556;0.629223;0.038379453;0.20418
0_26-11-2021_04-11-19_AM.jpg;3;0.98580813;0.051546134;0.2943858;0.087713204;0.22529154
0_26-11-2021_08-41-30_AM.jpg;3;0.4122594;0.02758992;0.680715;0.053142026;0.34112352
0_26-11-2021_08-41-30_AM.jpg;3;0.760706;0.80907565;0.18331619;0.05947056;0.08880903
0_26-11-2021_11-40-27_AM.jpg;3;0.48974663;0.03910027;0.77309954;0.074506246;0.26160073
0_26-11-2021_12-02-25_PM.jpg;3;0.5511682;0.9244614;0.8618459;0.13581936;0.27284998
0_26-11-2021_12-02-25_PM.jpg;3;0.8409772;0.9520136;0.860341;0.096010484;0.27089024
0_26-11-2021_12-02-25_PM.jpg;3;0.52271813;0.03221803;0.40360513;0.072276324;0.6058147
0_26-11-2021_12-02-25_PM.jpg;3;0.8537954;0.32107955;0.8359311;0.12163767;0.31600437
1_24-11-2021_01-13-44_PM.jpg;3;0.7740789;0.6698993;0.42613512;0.060796592;0.21302268
1_24-11-2021_05-29-11_AM.jpg;3;0.8898216;0.9529186;0.13886355;0.08023792;0.27299443
1_26-11-2021_04-10-55_AM.jpg;3;0.8049011;0.060243413;0.44565657;0.13075657;0.56658924
23-11-2021_02-18-50_PM.jpg;3;0.97732306;0.97554195;0.34314057;0.02449809;0.08658084
23-11-2021_02-19-04_PM.jpg;3;0.95783985;0.33351415;0.3115411;0.017497413;0.07120292
23-11-2021_02-19-26_PM.jpg;3;0.562665;0.71294063;0.103568904;0.009294834;0.03635479
23-11-2021_02-19-26_PM.jpg;3;0.4380347;0.58256686;0.07614953;0.013082828;0.041462425
23-11-2021_02-19-26_PM.jpg;3;0.8256153;0.5820836;0.07807839;0.013694841;0.041497953
23-11-2021_02-19-26_PM.jpg;3;0.8519527;0.5834398;0.07743169;0.013889279;0.042632896
23-11-2021_02-19-26_PM.jpg;3;0.77122754;0.71196836;0.103500254;0.0096628945;0.037935603
23-11-2021_02-19-42_PM.jpg;3;0.8666836;0.20551066;0.30452147;0.008926566;0.03602761
23-11-2021_02-19-42_PM.jpg;3;0.8171019;0.20672034;0.30403647;0.009025302;0.036069084
23-11-2021_02-20-25_PM.jpg;3;0.90211356;0.89715505;0.38413513;0.018302713;0.09339144
23-11-2021_02-20-25_PM.jpg;3;0.8648228;0.9002016;0.3854902;0.017948695;0.09294945
23-11-2021_02-20-25_PM.jpg;3;0.9701818;0.83175427;0.56558734;0.029391004;0.12690386
23-11-2021_02-21-03_PM.jpg;3;0.94384515;0.8600007;0.34223637;0.013419167;0.061835546
23-11-2021_02-21-03_PM.jpg;3;0.97838414;0.41777784;0.60150796;0.02889508;0.11164965
23-11-2021_02-21-03_PM.jpg;3;0.5214932;0.6841707;0.36573252;0.013455363;0.054977734
23-11-2021_02-21-03_PM.jpg;3;0.5227282;0.68997926;0.36213532;0.013092731;0.05606542
23-11-2021_02-21-03_PM.jpg;3;0.80480486;0.6935133;0.3632131;0.013192848;0.05708129
23-11-2021_02-21-18_PM.jpg;3;0.8992104;0.26909372;0.51421666;0.02105043;0.10773476
23-11-2021_02-21-18_PM.jpg;3;0.89981025;0.341957;0.38491282;0.018351104;0.10089717
23-11-2021_02-21-18_PM.jpg;3;0.92334676;0.2701809;0.52687365;0.022716176;0.12172119
23-11-2021_02-21-18_PM.jpg;3;0.94880533;0.33649886;0.79864055;0.040609792;0.22614539
23-11-2021_02-21-18_PM.jpg;3;0.8020391;0.34288555;0.3846173;0.017818987;0.10055861
23-11-2021_02-21-18_PM.jpg;3;0.96016914;0.2846778;0.5835397;0.031921003;0.17053637
23-11-2021_02-21-18_PM.jpg;3;0.97585505;0.28296328;0.5849692;0.03249162;0.17007329
23-11-2021_02-36-28_PM.jpg;3;0.9713244;0.1170868;0.5852225;0.022022532;0.09441695
23-11-2021_02-36-28_PM.jpg;3;0.8701666;0.41470706;0.6148757;0.019514302;0.08880038
23-11-2021_02-37-17_PM.jpg;3;0.89631724;0.89473104;0.29327607;0.020112708;0.08275048
23-11-2021_02-37-17_PM.jpg;3;0.643369;0.8979366;0.29342654;0.020499855;0.084946886
23-11-2021_02-37-17_PM.jpg;3;0.5605733;0.12645859;0.21610348;0.009528676;0.045295894
23-11-2021_02-37-17_PM.jpg;3;0.4264078;0.13004096;0.21085279;0.009126397;0.04487933
23-11-2021_02-37-17_PM.jpg;3;0.9540459;0.67517436;0.41558224;0.050632436;0.15239117
